job_id,source_job_id,job_title_std,city_std_final,province_std_final,job_family_std,job_family_confidence,city_std_confidence,skill_list,task_list,genai_exposure_level,jd_text_clean,review_job_family,review_skill_list,review_task_list,review_notes
job_001512,170883920,STGZ PT AI Engineers in Transformer Engineering,广州,广东,软件开发,high,high,C++ | Docker | Git | Java | JavaScript | Kafka | Kubernetes | Linux | Python | REST API | SQL | TensorFlow,合规审查 | 算法建模,high,"工作地址：广州市黄埔区骏功路26号 每日工作快照 保障公司 AI 平台高可用、高性能运行，构建安全可靠的开源技术生态； 通过全流程运维、合规审查、容器化部署与系统集成， 实现业务数据的高效交互与技术沉淀，支撑 AI 产品快速迭代并降低法律与安全风险。 职责与挑战 1. AI 平台日常运维 - 负责公司内部 AI 平台（包括模型训练、推理服务、数据管道、应用平台等）的部署、监控、故障排查与性能调优。 - 编写并维护运维自动化脚本、监控告警规则、灾备方案。 - 对AI服务器进行常规维护（包括系统补丁、防火墙规则、安全漏洞的修复等） 2. 开源资源评估与合规 - 深入调研与业务相关的开源项目（模型、库、框架、数据集等），撰写技术评估报告。 - 对照开源许可证（MIT、Apache 2.0、GPL、LGPL、BSD、Creative Commons 等），判断使用、修改、再分发的合规性，规避潜在法律风险。 - 与法务团队沟通，完善开源合规流程、备案文档和合规审计记录。 3. 开源组件部署与定制 - 基于 Linux（Docker、Kubernetes），独立完成开源组件的部署、构建、容器化、CI/CD 流程搭建。 - 能够阅读、调试并在必要时对源码进行适度改造，以满足业务功能或性能需求。 4. 系统对接与数据交互 - 与业务系统、数据仓库、第三方服务（如日志平台、监控平台、数据标注平台等）进行接口设计、实现与测试。 - 负责数据格式转换、消息队列或 API层面的可靠数据传输。 5. 技术沉淀与知识共享 - 编写技术文档、运维手册、开源合规指南。 - 为团队成员提供培训、技术分享，推动内部技术标准化。 综合素质要求 学历：本科及以上，计算机科学、软件工程、信息安全、人工智能或相关专业。 工作经验：3 年以上后端/运维/平台开发经验；有 AI 平台（如 Ollama、n8n、Open WebUI、TensorFlow Serving、MLflow、Kubeflow、Seldon）运维经历者优先。 编程能力：熟练使用 Python、Javascript、Go 或 Java；能够阅读 C/C++ 开源项目源码。 系统与容器：深入掌握 Linux 操作系统、Docker、Kubernetes（部署、网络、存储、调度）。 开源合规：熟悉主流开源许可证（MIT、Apache 2.0、GPL 系列、BSD、Creative Commons 等），了解开源合规审计流程或拥有实战经验。 CI/CD：熟悉 Git、GitHub/GitLab、Jenkins、GitHub Actions、Argo CD 等自动化流水线工具。 数据交互：熟悉 RESTful API、gRPC、Message Queue（Kafka、RabbitMQ）及常用数据格式（JSON、Protobuf、Avro）。 网络相关：熟悉TCP/IP、UDP、HTTPS、WebSocket，并了解nginx、iptables的运作原理。 数据库管理：熟悉常用数据库mySQL,SQL server等的管理与运维 网络安全：熟悉防火墙配置管理，了解AI架构，对可能存在信息和数据泄露的节点进行防护。有较强的网络安全意识，了解常见的安全漏洞（如依赖包漏洞、供应链攻击），能进行安全扫描并修复发现的漏洞。 沟通协作：良好的跨部门沟通能力，能够与研发、产品、法务、业务等团队顺畅协作。 语言：中文流利，具备英文阅读（技术文档、许可证）能力。 加分项 - 有开源项目贡献（提交 PR、维护 Issue）或维护过内部开源库的经历。 - 熟悉云服务（AWS、Azure、Google Cloud）中 AI 相关托管服务（SageMaker、Vertex AI、Azure ML）。 - 持有 Linux、Kubernetes、或信息安全相关认证（如 CKA、CKS、CISSP）。 关于团队 我们的 Grid Technology 部门致力于实现可靠、可持续的数字化电网。电网是能源转型。Siemens Energy 在 HVDC 输电、电网领域提供领先的产品组合和解决方案稳定和存储、高压开关设备和变压器以及数字电网技术。 关于西门子能源 我们不仅仅是一家能源技术公司。 我们可满足 90 多个国家/地区不断增长的能源需求，同时确保气候环境受到保护。我们拥有 100,000 多名敬业员工，不仅为全球超过 16% 的社区发电，而且还利用我们的技术帮助保护人类和环境。 我们的全球团队致力于突破无限可能，实现可持续、可靠且经济的能源。我们秉承 150 年的创新传统，不断招募支持我们专注于脱碳、新技术和能源转型事业的人才。赋能社会，我们其实需要你的力量！ 加入我们，让我们一起赋能社会，源动未来。 我们拥抱多样性 与众不同是我们的幸运。多样性赐予我们能力。我们推崇包容性，有超过 130 个国家的人才为我们贡献综合创造力。Siemens Energy 欢迎不同人员的加入——无论种族背景、性别、年龄、宗教、身份或残疾与否。我们为整个社会注入活力，不因差异而歧视。 福利 ● 宝贵的职场起点，全球领先的工程师团队，功底深厚的工程师亲自辅导，理论与实践结合的锻炼成长机会 ● 与国内外专家沟通交流的机会，学习高端产品的设计制造技术，管理路线与专家路线的培养机制 ● 学习并推进先进的设计理念，全球共享的技术平台，开放包容的工作环境，发挥个人特长及才华的公司文化 ● 有竞争力的薪酬和基于绩效的激励措施 ● 全面的健康和保健福利。 ● 专业发展和职业发展的机会。",,,,
job_001923,170399806,上位机软件资深工程师,东莞,广东,软件开发,high,high,C# | C++,,high,"岗位定位：数学基础佳、懂底层通信的Windows 应用专家。 核心职责： 全栈开发：负责Windows 端APP 及驱动软件设计 精通 QT,C++,C#。 通信与协议：熟悉WIFIUDP、USB或UART通讯应用开发。 算法攻关：负责核心功能算法实现，具备较好的数学基础。 任职要求： 资历要求：计算机/数学相关专业本科，15年以上电脑外设产品软件APP设计经验（专家级）。 核心能力：具备算法学习能力，会使用仿真模拟计算软件者佳。 加分项：有AIIDE（人工智能辅助开发）应用经验者优先。 岗位福利： 1、入职即享公寓式住宿及自营食堂，不收取任何费用； 2、高端舒适的办公环境，定期举办运动会、竞速模拟类游戏比赛、生日会、发放各种节日礼品等； 3、完善的薪酬体系：底薪+提成/绩效+奖金。",,,,
job_1041609,149653557,高级机器视觉工程师（征图）,苏州,江苏,AI/算法,high,high,C# | C++ | Python,软件开发,high,岗位职责： 1、根据项目需求，独立完成视觉系统的方案评估，选择合适的相机、镜头和光源等硬件； 2、负责视觉程序的编写、开发、调试，视觉系统与其他外围设备的系统集成； 3、跟踪和优化视觉系统，保证系统稳定运行； 4、根据项目进度需要现场调试，能适应出差； 5、编写技术文档并对客户相关人员进行培训； 6、参与公司新应用项目的程序开发和调试等。 岗位要求： 1. 教育： a) 计算机、自动化、图像处理等相关专业，本科及以上学历； 2. 工作经验： a) 至少熟悉C#、VB、C++、Python等高级编程语言中的一种（以C#为主）； b) 至少熟悉Halcon 、VisionPro、OpenCV、NI Vision等视觉软件中的一种（以Halcon为主）； c) 精通多线程程序开发，熟悉面向对象编程思想，扎实的代码编写功底； d) 熟悉常用的通信技术，如串口、Socket、TCP/IP、Modbus等； e) 3年及以上的机器视觉项目软件开发经验； f) 有数据库或运动控制系统应用开发经验者优先； g) 熟悉视觉跟工业机器人配合开发者优先。 3. 英语： a) 有一定的英语基础，能看懂英文资料； 4.其他 a) 性格细致沉稳，自学能力强； b) 工作积极主动，认真负责； c) 良好的学习能力和沟通能力； d) 良好的团队意识，能适应出差； 福利待遇： 创业公司、五险一金、周末双休、通讯补贴、弹性工作、出差补贴、年终奖 工作时间：09:00-17:30，周末双休，法定节假日按照国家规定休息 工作地址： 苏州市昆山市花桥镇兆丰路18号亚太广场1号楼 （西安交通大学人工智能创新中心园区） 公司介绍： 苏州征图智能科技有限公司办公地点位于苏州市昆山市花桥镇徐公桥路2号中茵广场E区——西安交通大学花桥创新中心园区。公司主要从事机器视觉、工业机器人技术的开发和应用，擅长以COGNEX、BASLER、KEYENCE、AVT、JAI、海康、大华等国内外一线品牌为核心硬件来自主开发视觉系统（可按需定制） ，致力于为客户提供专业的解决方案和技术服务。 公司核心技术团队均在国际知名自动化公司工作十多年，具有完善、强大的开发能力。目前已自主开发了车身定位3D视觉系统、双目3D视觉系统、机器人路径智能规划视觉系统、机器人输送线动态跟踪抓取视觉系统、胶型检测视觉系统、底涂检测视觉系统等等，并在客户工厂得到广泛应用和认可；尤其在机器人+2D/3D视觉的应用领域具有丰富的项目开发经验。 苏州征图致力于为员工创造温馨、平等、开放、包容的工作环境和发展平台，注重对员工的培训和潜能开发，重视员工与企业的共同成长，为每一个有理想且有能力的员工提供实现理想的舞台。,,,,
job_1078124,170831641,Al搜索评测运营（评测分析方向）-大模型数据服务中心,北京,北京,市场/运营,high,high,AI Agent | LLM/大模型 | Prompt Engineering | 数据分析,数据分析 | 方案设计,high,职位描述： 1、专注于大模型联网场景下搜索引擎相关功能优化及评估，核心负责线上搜索案例的拆解、分析与复盘，定位问题根因，对评估数据的质量和效率负责； 2、依据搜索场景的特点和要求，制定并持续优化数据评估的标准与流程，结合线上案例拆解结果，保障标注准确性与实验有效性； 3、跟进搜索策略迭代、市场摸底等工作，在案例拆解过程中灵活运用AI工具辅助分析，与算法团队、产品团队等密切协作，深度理解AI搜索项目的特点，积极提供有针对性的数据合成策略和建议； 4、能够独立完成数据挖掘、数据预处理、数据分析及结论输出，结合线上案例拆解成果，提炼有价值的业务信息，驱动搜索功能与体验优化。 职位要求： 1、本科及以上学历，计算机、理工类相关专业优先； 2、熟练使用全球主流的大模型相关应用，有一定AI理解能力，能灵活运用AI工具辅助线上搜索案例拆解、分析工作，有Prompt Engineering应用经验优先； 3、熟悉Workflow与智能体Agent系统设计与开发，具备Cursor/DeepResearch/Manus等相关项目实践经验者优先； 4、对搜索产品有深刻理解，有一定的评测经验，对产品有深入研究，具备较强的逻辑拆解能力，能高效完成线上搜索案例拆解，跟进策略迭代和产品优化，不局限于数据生产，突出运营的价值，驱动业务进步； 5、有较强的自驱力和学习能力（包括论文研究），具备独立判断的思维，能够清晰、准确地传达案例拆解结果、业务信息和想法，具备优秀的沟通协调能力及团队合作精神优先。,,,,
job_1060136,171239808,运维工程师（AI系统运维方向）,上海,上海,软件开发,high,high,AI Agent | Docker | Java | Kubernetes | LLM/大模型 | Linux | Python,,high,岗位职责 1. 负责公司内部服务器、云资源及网络环境的日常运维管理与稳定运行保障。 2. 负责公司AI Agent平台及交付项目的部署、监控、维护及故障排查。 3. 负责客户项目的系统上线支持、运行维护及性能优化。 4. 负责基于Kubernetes（K8S）的容器化平台运维与管理。 5. 参与AI相关系统（如大模型、AI应用服务等）的部署及运维保障。 6. 负责系统监控体系建设、日志管理及运维自动化能力提升。 7. 配合研发团队进行系统架构优化、稳定性提升及运维规范建设。 8. 编写运维文档、部署流程及应急预案，提升运维标准化水平。 ⸻ 任职要求 基本要求 • 本科及以上学历，计算机相关专业优先。 • 2年以上系统运维或平台运维相关工作经验。 • 能长期专注从事系统运维相关工作，具备较强责任心。 • 熟悉Linux服务器运维及常见系统服务管理。 • 熟悉Kubernetes（K8S）及容器化技术（Docker等）。 • 具备基础编程能力（Python / Shell / Go / Java 等至少一种）。 • 具备良好的问题定位及故障排查能力。 • 学习能力强，对AI及新技术有兴趣。 ⸻ 优先条件（加分项） • 有OpenClaw或AI Agent系统部署经验。 • 有大模型（LLM）部署、推理服务或AI应用运维经验。 • 有GPU服务器运维或算力集群管理经验。 • 熟悉云平台（阿里云 / AWS / Azure 等）。 • 熟悉CI/CD、自动化运维工具或DevOps体系。 • 英语读写能力良好（技术文档阅读能力强）。 ⸻ 我们提供 • 深度参与企业级AI Agent与大模型应用落地机会。 • 接触前沿AI基础设施与AI应用架构实践。 • 快速成长的技术环境与学习空间。 • 有竞争力的薪资及发展路径。,,,,
job_841089,170148273,"QC Lab Analyst, Compendial Group (MJ008676)",无锡,江苏,生产/质量,high,high,Excel,,high,"JOB RESPONSIBILITY: Promptly and properly document tests and results per Good Documentation Practice (GDP) requirement. Perform GMP routine testing and method setup experiments of Antibody-Drug Conjugate (ADC) samples according to relevant Standard Operation Procedure (SOP), Analytical Method Procedure (AMP), protocols, test methods and cGMP requirements. Write and revise AMP, method transfer/qualification/validation protocol and report. Write SOP and other technical documents Perform laboratory investigation following relevant SOP. Perform method optimization and troubleshooting when necessary and lead technical discussion. Proactively search for opportunities to improve efficiency, quality and achieve technical excellence. Review test records including lab notebook, worksheet, electronic data and audit trail. Work as QC Function Leader to coordinate project related activities in QC Job Requirements: 1. Education background in Chemistry, Biochemistry, Microbiology, Molecular Biology, Biological Engineering, or others related field.One or two year experience in (bio)pharmaceutical industry 2.Knowledge in some the following fields: Chromatographic and spectral techniques related to HPLC, UV, appearance, osmolality, pH, residual moisture, HIAC, etc. ; Knowledge in FDA/EMA/CFDA cGMP regulations, Pharmacopoeias, and ICH guidelines) 3.Good communication skills in English and Chinese. 4.Critical thinking, scientific reasoning and problem solving skills 5.Good computer operation skill, intermediate level in Microsoft Word, Excel, PowerPoint etc.",,,,
job_965129,171561622,EC Intern,上海,上海,市场/运营,medium,high,Excel,,high,"Role Responsibilities 1. E-commerce activation and promotion planning: Assist EC team to manage E-commerce calendar planning for key shopping festivals (e.g., MAF, Double 11), ensuring timely asset delivery and budget allocation; Work with trade marketing and design seasonal VAPs and co-operate with EC sales team to maximize basket size and enhance consumer experience; Plan activation while controlling SC/BI budget to maximize effectiveness and efficiency; 2. Data Analysis & EC Platform/consumer trends monitoring Analyze sales data, consumer trends, and campaign KPIs to give EC team assistance on daily job. Prepare weekly/monthly performance reports for internal stakeholders, highlighting wins, gaps, and optimization opportunities. Monitor selling cost budgets and ensure cost-effective allocation by brand and by platforms. 3. Cross-Functional Collaboration Work with EC team to leverage consumer insights for personalized promotions advice; Communication with EC sales team in achieving sales targets through real-time inventory tracking; Coordinate with EC lead to ensure ROI transparency and cost control across daily sales plans. PDCA mindset to collect key activation from EC team on monthly base. Qualifications & Experience Current undergraduate students in their senior year 3 days a week is required for on-site job. Sound Windows software skills especially Excel and Power point are required; Team player with excellent interpersonal skills.",,,,
job_1074984,171638993,IT技术经理,上海,上海,软件开发,medium,high,Docker | Java | Kafka | Kubernetes | LLM/大模型 | LangChain | Prompt Engineering | Python | RAG | Redis | SQL | Spring Boot,仓储物流 | 方案设计,high,岗位职责： 1、主导公司核心供应链系统的技术选型与架构设计，包括订单管理（OMS）、仓储管理（WMS）、运输管理（TMS）等业务模块； 2、制定技术规范与代码标准，保障系统在高并发、海量数据场景下的稳定性与可扩展性； 3、负责关键技术难题攻关，解决分布式事务、数据一致性、实时计算等复杂问题。 4、跟踪AI前沿技术，结合供应链业务场景（如智能调度、需求预测、异常检测、智能客服等），推动AI能力的产品化落地； 5、主导AI工程化体系建设，包括模型选型、Prompt工程、向量检索、RAG应用等，实现传统Java系统与AI能力的深度融合； 建立模型效果评估与迭代机制，持续提升AI功能的业务价值。 6、带领5-10人Java开发团队，负责人员招聘、培养、绩效考核及人才梯队建设； 7、推动敏捷开发与DevOps实践，优化研发交付流程，提升团队响应速度与交付质量； 8、组织技术分享与Code Review，营造技术驱动、持续学习的文化氛围。 9、与产品、业务、算法、运营等团队紧密协作，深入理解业务需求，转化为可落地的技术方案； 10、向上汇报技术规划、项目进展与风险，向下清晰传达业务目标与技术决策，确保战略对齐。 任职要求： 1、计算机相关专业本科及以上学历，5年以上Java开发经验，技术基础扎实； 2、精通Spring Boot / Spring Cloud微服务架构，深入理解JVM、多线程、网络编程； 3、熟悉MySQL、Redis、Kafka、Elasticsearch等中间件，具备分布式系统设计与调优经验； 4、具备AI工程化实践经验，熟悉Python、LLM API调用、向量数据库、LangChain / LangGraph等工具链。 5、至少3年技术团队管理经验，有从0到1搭建团队或主导复杂项目交付的成功案例； 6、具备优秀的技术判断力与决策能力，能在业务压力与技术理想间找到平衡。 7、出色的沟通能力，能将复杂技术概念用业务语言清晰表达，善于倾听与换位思考； 8、具备Owner意识与抗压能力，能在模糊需求中快速定位问题并推动解决。 加分项 1、有供应链、物流、电商或AI公司背景，参与过百万级DAU产品技术架构； 2、在GitHub有优质开源项目，或发表过技术博客/演讲； 3、熟悉云原生技术（K8s、Docker、Service Mesh）与DevOps实践； 4、有供应链领域AI应用落地经验（如智能调度、路径优化、需求预测、智能客服等）。,,,,
job_007252,171535243,高级软件工程师,武汉,湖北,软件开发,high,high,C++ | MATLAB | Python,软件开发 | 需求分析,high,"岗位职责： 1.本科及以上学历，计算机科学，软件工程等相关专业（特别优秀者可放宽学历要求） 2.熟悉掌握C++和Python软件开发，具备matlab和python代码转c++代码能力，CUDA并行计算代码开发； 3.有分布式光纤传感软件开发项目工作落地经验，熟悉信号处理、声学处理相关软件开发经验者优先； 4.具备有上下位机相关网络通讯，数据库，多线程，QT开发相关开发经验者优先； 5.积极主动，具备较强的学习能力，责任心强，善于发现并解决问题。 岗位要求： 1.参与产品开发规划，需求分析和设计； 2.主导产品软件整体技术方案和系统架构的搭建及评审； 3.负责产品软件界面与功能模块的具体开发与实现； 4.熟悉QT+VS,根据产品需要完成算法移植转换,软件开发和测试工作； 5.能按照项目计划，按时提交高质量代码和部分文档编写及维护，完成开发任务。",,,,
job_433696,171426302,资深项目经理,苏州,江苏,产品/项目,high,high,机器学习 | 质量管理 | 项目管理,项目管理,high,应届毕业生请***简历，应聘者重复投递简历一概不予录用，谢谢。 岗位职责： 1.对项目交付结果负责，带领团队完成从需求调研到上线的全过程管理，推进项目顺利交付验收; 2.项目规划统筹，包括规划项目推进节奏，各阶段计划编制，依据计划组织资源完成项目交付; 3.人员培养，能够带领团队达成项目目标和质量要求，保持团队稳定，高效输出，指导项目成员有序开展项目; 4.项目和案例总结，项目完成后配合部门组织项目案例总结，项目经验分享等，具备一定的讲课，授课等能分， 5.售前支持，配合售前针对客户需求引导客户并确定项目范围； 6.产品支持，了解国内外相关系统和行业以展状况，适时提供公司产品的优化建议和方案。 任职资格: 1．本科及以上学历，计算机，自动化工业工程等相关专业尤佳; 2．5年以上IT项目实施经验，3年以上项目管理经验或2-3个以上项目管理经验; 3．熟悉供应链制造业务流程，对企业信息化有深入的认识，制造领域有MES/QMS/WMS/WCS系统实施经验;(主要侧重WMS或WCS系统实施经验)； 4．了解AI/机器学习在工业场景的应用； 5．重点负责项目进度与质量管理，同时能参与项目的技术开发工作。 6．抗压能力强； 7．能接受出差。 职位福利：五险一金、绩效奖金、带薪年假、节日福利,,,,
