job_family_code,job_family_std,pattern,source_field,weight,priority,notes
ai_algorithm,AI/算法,人工智能|算法|机器学习|深度学习|自然语言处理|AIGC|大模型|Prompt|智能体|LLM|RAG|计算机视觉|推荐算法|数据科学家,job_title_std,6,1,AI 原生/算法岗位
ai_algorithm,AI/算法,人工智能|算法|机器学习|深度学习|自然语言处理|AIGC|大模型|Prompt|智能体|LLM|RAG|计算机视觉|推荐算法|数据科学家,keyword_seed,5,1,AI 原生/算法岗位
ai_algorithm,AI/算法,^(图像算法工程师)$,keyword_seed,6,1,高频 AI keyword_seed 精修
ai_algorithm,AI/算法,^(机器视觉工程师)$,job_title_std,8,1,高频机器视觉岗位精修
data_analytics,数据分析,数据分析|数据运营|商业分析|BI|数据治理|数据挖掘|数据专员|数据建模|数仓|ETL|报表,job_title_std,5,2,数据分析与 BI
data_analytics,数据分析,数据分析|数据运营|商业分析|BI|数据治理|数据挖掘|数据专员|数据建模|数仓|ETL|报表,keyword_seed,4,2,数据分析与 BI
data_analytics,数据分析,^(数据分析师)$,keyword_seed,6,2,高频数据分析 keyword_seed 精修
software_dev,软件开发,软件|开发工程师|后端|前端|全栈|程序员|架构师|运维工程师|测试开发|Java|Python|Go|PHP|C\+\+|C#|安卓|iOS|Web|小程序|嵌入式软件|网络工程师|网络安全工程师|系统工程师|信息安全工程师,job_title_std,5,3,软件研发岗位
software_dev,软件开发,软件|开发工程师|后端|前端|全栈|程序员|架构师|运维工程师|测试开发|Java|Python|Go|PHP|C\+\+|C#|安卓|iOS|Web|小程序|嵌入式软件|网络工程师|网络安全工程师|系统工程师|信息安全工程师,keyword_seed,4,3,软件研发岗位
software_dev,软件开发,^(网络工程师|网络安全工程师|系统工程师)$,job_title_std,8,3,高频 IT/网络岗位精修
software_dev,软件开发,^(运维工程师|系统工程师|IT经理 or IT主管)$,keyword_seed,6,3,高频软件/IT keyword_seed 精修
software_dev,软件开发,^(IT工程师)$,job_title_std,8,3,高频 IT 岗位精修
software_dev,软件开发,^(高级软件工程师|电子软件开发 or ARM or 电子软件开发 or MCU|嵌入式硬件开发\(主板机等\))$,keyword_seed,6,3,高频软件 keyword_seed 精修
software_dev,软件开发,^(嵌入式工程师)$,job_title_std,8,3,高频嵌入式岗位精修
hardware_electrical,硬件/电气,硬件|电气|自动化|PLC|单片机|电路|仪器仪表|电子工程师|电控|嵌入式硬件|电机|电源,job_title_std,5,4,硬件、电气与自动化
hardware_electrical,硬件/电气,硬件|电气|自动化|PLC|单片机|电路|仪器仪表|电子工程师|电控|嵌入式硬件|电机|电源,keyword_seed,4,4,硬件、电气与自动化
hardware_electrical,硬件/电气,^(电力工程师 or 电力技术员|集成电路IC设计工程师 or 集成电路IC应用工程师|电子工程师 or 电子技术员|通信技术工程师|PCB工程师|激光技术 or 光电子技术|射频工程师|FPGA工程师)$,keyword_seed,6,4,高频硬件/电气 keyword_seed 精修
hardware_electrical,硬件/电气,^(射频工程师|FPGA工程师|电子技术员)$,job_title_std,8,4,高频硬件岗位精修
hardware_electrical,硬件/电气,^(机电工程师|自动控制工程师 or 自动控制技术员|自动化运维工程师)$,keyword_seed,6,4,高频自动化与机电 keyword_seed 精修
hardware_electrical,硬件/电气,^(电机工程师|自控工程师)$,job_title_std,8,4,高频机电与自控岗位精修
r_and_d_research,研发/科研,研发工程师|研发经理|研发总监|研发助理|研究员|科研人员|实验室研究员|技术研发工程师|技术研发经理|技术研发主管|医药技术研发人员,job_title_std,6,5,研发与科研岗位
r_and_d_research,研发/科研,研发工程师|研发经理|研发总监|研发助理|研究员|科研人员|实验室研究员|技术研发工程师|技术研发经理|技术研发主管|医药技术研发人员,keyword_seed,5,5,研发与科研岗位
r_and_d_research,研发/科研,^(技术研发工程师|食品研发 or 饮料研发)$,keyword_seed,6,5,高频研发 keyword_seed 精修
r_and_d_research,研发/科研,^(产品开发工程师)$,job_title_std,12,5,高频产品研发岗位精修
mechanical_engineering,机械工程,机械|结构工程师|模具|机电|设备工程师|工业工程|材料工程师|热设计|制造工程师|工艺工程师|光学工程师|设备主管|设备技术员|设备员|机修工,job_title_std,5,5,机械、结构与制造工程
mechanical_engineering,机械工程,机械|结构工程师|结构设计工程师|模具|机电|设备工程师|工业工程|材料工程师|热设计|制造工程师|工艺工程师|工艺技术员|工艺员|精益工程师|PIE工程师|光学工程师|设备主管|设备技术员|设备员|机修工|焊接工程师|液压工程师|线束工程师,keyword_seed,4,5,机械、结构与制造工程
