variable_name,group,cn_label,level,construction_method,data_source,primary_spec,alternate_spec,expected_direction,notes
skill_entropy_cgt,dependent,城市-岗位族-季度技能信息熵,city-job_family-quarter,"按技能类别占比计算 Shannon 熵","skill_extraction_table","一级技能类别熵","二级技能词熵",core,"主结果变量"
norm_skill_entropy_cgt,dependent,标准化技能信息熵,city-job_family-quarter,"skill_entropy_cgt / ln(K_cgt)","skill_extraction_table","标准化熵","最大值归一化熵",core,"用于跨城市跨岗位族可比"
skill_entropy_ct,dependent,城市-季度技能信息熵,city-quarter,"按城市层技能类别分布计算熵","skill_extraction_table","城市层技能类别熵","城市层任务熵",core,"用于空间模型"
task_entropy_cgt,dependent,城市-岗位族-季度任务熵,city-job_family-quarter,"按任务类别占比计算 Shannon 熵","skill_extraction_table","一级任务类别熵","任务词熵",positive,"替代结果变量"
sri_cgt,dependent,技能重塑指数,city-job_family-quarter,"由 GenAI 技能占比、高阶技能占比、互补技能占比、标准化技能熵和常规技能占比综合构造","panel_cgt_base + entropy_panel_cgt","加权综合指数","PCA 指数",positive,"综合结果变量"
hos_cgt,mechanism,高阶技能占比,city-job_family-quarter,"高阶认知、分析、判断、设计和沟通标签占比","skill_extraction_table","标签均值","文本分类概率均值",positive,"中介变量"
css_cgt,mechanism,互补技能占比,city-job_family-quarter,"AI 协同使用、审校优化、业务理解、流程编排等标签占比","skill_extraction_table","标签均值","关键词比重",positive,"中介变量"
rss_cgt,mechanism,常规技能占比,city-job_family-quarter,"标准化、重复性、流程型任务标签占比","skill_extraction_table","标签均值","常规任务关键词比例",negative,"中介变量"
mss_cgt,mechanism,管理技能占比,city-job_family-quarter,"项目推进、统筹协调、管理监督标签占比","skill_extraction_table","标签均值","文本分类分值",positive,"补充机制变量"
sss_cgt,mechanism,社交协作技能占比,city-job_family-quarter,"沟通表达、客户互动、跨部门协作标签占比","skill_extraction_table","标签均值","文本分类分值",positive,"补充机制变量"
gss_cgt,mechanism,GenAI技能占比,city-job_family-quarter,"Prompt、LLM、AIGC、智能体等技能占比","skill_extraction_table","技能词占比","显式 GenAI 岗位占比",positive,"机制变量"
salary_premium_cgt,dependent,薪资溢价,city-job_family-quarter,"同城同岗位族高暴露岗位平均薪资相对低暴露岗位的差值或比值","job_level_panel","均值差","对数薪资回归系数",positive,"薪资子样本变量"
edu_upgrade_cgt,dependent,学历升级程度,city-job_family-quarter,"本科及以上或硕士及以上岗位占比","job_level_panel","本科及以上占比","硕士及以上占比",positive,"招聘门槛变化指标"
gdi_ct,core_explanatory,城市-季度 GenAI 发展指数,city-quarter,"标准化多个 GenAI 相关指标后用 PCA 或熵值法合成","city_quarter_external_table + recruitment aggregation","PCA","熵值法",positive,"主解释变量"
gdi_t,core_explanatory,全国季度 GenAI 发展指数,quarter,"将城市季度指数按样本量加权或直接按全国指标合成","external + aggregated recruitment","全国综合指数","显式岗位占比趋势",positive,"用于 shift-share"
explicit_genai_share_ct,core_explanatory,城市显式 GenAI 岗位占比,city-quarter,"统计出现 AIGC、大模型、Prompt、Agent、ChatGPT、LLM 等词的岗位占比","job_level_panel","规则词典法","LLM 判别法",positive,"替代解释变量"
genai_exposure_g,core_explanatory,岗位族 GenAI 暴露度,job_family,"基于任务可替代性、语言生成相关性和规则+LLM 综合评分构造","skill_extraction_table + external mapping","规则+LLM 综合分数","文献映射指数",positive,"交互模型与 shift-share 核心变量"
shock_ct,core_explanatory,城市 GenAI 冲击强度,city-quarter,"基期岗位结构权重 × 岗位族暴露度 × 全国或城市 GenAI 指数","panel_ct_base + exposure_g + gdi_t/gdi_ct","share_base × exposure × gdi_t","share_base × exposure × gdi_ct",positive,"城市层冲击变量"
ln_gdp_pc_ct,control,人均GDP对数,city-quarter,"ln(gdp_pc)","city_quarter_external_table","对数形式","原值",control,"控制经济发展水平"
tertiary_share_ct,control,第三产业占比,city-quarter,"直接使用","city_quarter_external_table","连续变量","高低组虚拟变量",positive,"产业结构控制"
digital_economy_ct,control,数字经济水平,city-quarter,"直接使用","city_quarter_external_table","连续变量","高低组分组",positive,"控制技术吸收能力"
internet_ct,control,网络基础设施水平,city-quarter,"直接使用","city_quarter_external_table","连续变量","分位数组",positive,"基础设施控制"
college_share_ct,control,高教资源水平,city-quarter,"直接使用","city_quarter_external_table","连续变量","高低组虚拟变量",positive,"人才供给控制"
innovation_index_ct,control,创新能力指数,city-quarter,"直接使用","city_quarter_external_table","连续变量","高低组虚拟变量",positive,"创新控制"
city_tier_c,heterogeneity,城市等级,city,"一线/新一线/其他城市分组","external city classification","三分类变量","分值型变量",heterogeneous,"异质性分组"
digital_high_c,heterogeneity,高数字经济组,city,"按 digital_economy 中位数或分位数分组","city_quarter_external_table","中位数二分","三分位分组",heterogeneous,"异质性分组"
innovation_high_c,heterogeneity,高创新组,city,"按 innovation_index 分组","city_quarter_external_table","中位数二分","三分位分组",heterogeneous,"异质性分组"
college_high_c,heterogeneity,高教育资源组,city,"按 college_share 分组","city_quarter_external_table","中位数二分","连续交互",heterogeneous,"异质性分组"
industry_group_g,heterogeneity,行业组,job_family_or_industry,"按行业标准化后聚成制造业、现代服务业、数字服务业等组","job_level_panel","三大组","六大组",heterogeneous,"异质性分组"
company_type_group,heterogeneity,企业性质组,job_or_aggregate,"按企业性质分组","job_level_panel","民企/国企/外企/事业单位","二元变量",heterogeneous,"异质性分组"
W_skill_entropy_ct,spatial,技能熵空间滞后项,city-quarter,"W × skill_entropy_ct","city_spatial_table + entropy_panel_ct","邻接矩阵","距离倒数矩阵",positive_spillover,"空间模型变量"
W_gdi_ct,spatial,GenAI指数空间滞后项,city-quarter,"W × gdi_ct","city_spatial_table + genai_index_ct","邻接矩阵","经济距离矩阵",positive_spillover,"空间模型变量"
moran_i_t,spatial,全局 Moran's I,quarter,"按季度用空间权重矩阵和 skill_entropy_ct 计算","city_spatial_table + entropy_panel_ct","邻接权重","距离权重",positive_spatial,"空间集聚指标"
lisa_cluster_ct,spatial,局部空间聚类类型,city-quarter,"按季度计算 LISA 高-高、低-低等类型","city_spatial_table + entropy_panel_ct","LISA 聚类","热点/冷点分析",spatial_pattern,"空间集聚识别"
